-0,0696   5,1000   0,0422
0,1630   5,7179   0,0510
0,6085   6,6251   0,0583
0,4539   6,3503   0,0555
0,7176   6,8277   0,0551
0,9664   7,1846   0,0571
1,1958   7,4789   0,0657
1,4430   7,4432   0,0694
1,6962   7,3975   0,0669
1,7911   7,3544   0,0681
2,0141   7,0446   0,0760
2,1367   6,9638   0,0743
2,3148   6,7712   0,0818
2,6169   6,1457   0,0884
2,7811   5,6325   0,0826
3,1762   4,6884   0,0931
3,2203   4,4918   0,0947
3,4483   4,0455   0,0948
3,5700   3,7806   0,0956
3,8491   3,1892   0,1065
3,9626   3,0891   0,1020
4,0745   2,9052   0,1055
4,4485   2,3929   0,1099
4,6186   2,4949   0,1100
4,7327   2,6027   0,1163
4,9929   2,7937   0,1199
5,1176   2,7715   0,1259
5,4021   3,3151   0,1259
5,5104   3,4581   0,1241
5,7613   3,9459   0,1316
6,1499   4,9426   0,1328
6,3611   5,4142   0,1374
6,5127   5,2921   0,1421
6,6023   6,1462   0,1428
6,9170   6,7773   0,1446
6,9851   6,7343   0,1511
7,3081   7,2273   0,1533
7,1596   7,1466   0,1538
7,4771   7,2878   0,1595
7,9567   7,3113   0,1654
7,9360   7,4479   0,1669
8,1198   7,1330   0,1713
8,4318   7,2068   0,1667
8,5624   6,9019   0,1761
8,7380   6,3930   0,1742
9,0072   5,7218   0,1772
9,0282   5,5603   0,1779
9,3477   4,9771   0,1808
9,5572   4,4602   0,1868
9,7904   3,9186   0,1943
